,고급휘발유,휘발유,경유
244,1987.0,1757,1543
245,1990.0,1780,1580
246,1998.0,1785,1584
247,2061.0,1823,1653
248,2079.0,1859,1639
249,2027.0,1863,1635
250,1998.0,1865,1651
251,2088.0,1883,1672
252,1998.0,1890,1598
253,2097.0,1897,1697
254,2189.0,1937,1738
255,2098.0,1953,1733
256,2165.0,1976,1754
257,2179.0,1998,1798
258,2285.0,1999,1885
259,2149.0,1999,1799
260,2126.0,2006,1809
261,2278.0,2028,1897
262,2263.0,2055,1867
263,2268.0,2059,1869
264,2306.0,2105,1908
265,2305.0,2106,1909
266,2293.0,2107,1909
267,2420.0,2120,1920
268,1837.0,1597,1395
269,1835.0,1598,1393
270,1948.0,1598,1388
271,1790.0,1598,1380
272,1880.0,1598,1398
273,1865.0,1608,1397
274,1898.0,1609,1412
275,1787.0,1619,1388
276,1797.0,1632,1398
277,1833.0,1633,1399
278,1795.0,1639,1443
279,1885.0,1685,1485
280,1865.0,1688,1438
281,1998.0,1688,1438
282,1865.0,1728,1528
283,1987.0,1757,1543
284,1990.0,1780,1580
285,1998.0,1785,1584
286,2061.0,1823,1653
287,2079.0,1859,1639
288,2027.0,1863,1635
289,1998.0,1865,1651
290,2088.0,1883,1672
291,1998.0,1890,1598
292,2097.0,1897,1697
293,2189.0,1937,1738
294,2098.0,1953,1733
295,2165.0,1976,1754
296,2179.0,1998,1798
297,2285.0,1999,1885
298,2149.0,1999,1799
299,2126.0,2006,1809
300,2278.0,2028,1897
301,2263.0,2055,1867
302,2268.0,2059,1869
303,2306.0,2105,1908
304,2305.0,2106,1909
305,2293.0,2107,1909
306,2420.0,2120,1920
307,1837.0,1597,1395
308,1835.0,1598,1393
309,1948.0,1598,1388
310,1790.0,1598,1380
311,1880.0,1598,1398
312,1865.0,1608,1397
313,1898.0,1609,1412
314,1787.0,1619,1388
315,1797.0,1632,1398
316,1833.0,1633,1399
317,1795.0,1639,1443
318,1885.0,1685,1485
319,1865.0,1688,1438
320,1998.0,1688,1438
321,1865.0,1728,1528
322,1987.0,1757,1543
323,1990.0,1780,1580
324,1998.0,1785,1584
325,2061.0,1823,1653
326,2079.0,1859,1639
327,2027.0,1863,1635
328,1998.0,1865,1651
329,2088.0,1883,1672
330,1998.0,1890,1598
331,2097.0,1897,1697
332,2189.0,1937,1738
333,2098.0,1953,1733
334,2165.0,1976,1754
335,2179.0,1998,1798
336,2285.0,1999,1885
337,2149.0,1999,1799
338,2126.0,2006,1809
339,2278.0,2028,1897
340,2263.0,2055,1867
341,2268.0,2059,1869
342,2306.0,2105,1908
343,2305.0,2106,1909
344,2293.0,2107,1909
345,2420.0,2120,1920
346,1837.0,1597,1395
347,1835.0,1598,1393
348,1948.0,1598,1388
349,1790.0,1598,1380
350,1880.0,1598,1398
351,1865.0,1608,1397
352,1898.0,1609,1412
353,1787.0,1619,1388
354,1797.0,1632,1398
355,1833.0,1633,1399
356,1795.0,1639,1443
357,1885.0,1685,1485
358,1865.0,1688,1438
359,1998.0,1688,1438
360,1865.0,1728,1528
361,1987.0,1757,1543
362,1990.0,1780,1580
363,1998.0,1785,1584
364,2061.0,1823,1653
365,2079.0,1859,1639
366,2027.0,1863,1635
367,1998.0,1865,1651
368,2088.0,1883,1672
369,1998.0,1890,1598
370,2097.0,1897,1697
371,2189.0,1937,1738
372,2098.0,1953,1733
373,2165.0,1976,1754
374,2179.0,1998,1798
375,2285.0,1999,1885
376,2149.0,1999,1799
377,2126.0,2006,1809
378,2278.0,2028,1897
379,2263.0,2055,1867
380,2268.0,2059,1869
381,2306.0,2105,1908
382,2305.0,2106,1909
383,2293.0,2107,1909
384,2420.0,2120,1920
385,1837.0,1597,1395
386,1835.0,1598,1393
387,1948.0,1598,1388
388,1790.0,1598,1380
389,1880.0,1598,1398
390,1865.0,1608,1397
391,1898.0,1609,1412
392,1787.0,1619,1388
393,1797.0,1632,1398
394,1833.0,1633,1399
395,1795.0,1639,1443
396,1885.0,1685,1485
397,1865.0,1688,1438
398,1998.0,1688,1438
399,1865.0,1728,1528
400,1987.0,1757,1543
401,1990.0,1780,1580
402,1998.0,1785,1584
403,2061.0,1823,1653
404,2079.0,1859,1639
405,2027.0,1863,1635
406,1998.0,1865,1651
407,2088.0,1883,1672
408,1998.0,1890,1598
409,2097.0,1897,1697
410,2189.0,1937,1738
411,2098.0,1953,1733
412,2165.0,1976,1754
413,2179.0,1998,1798
414,2285.0,1999,1885
415,2149.0,1999,1799
416,2126.0,2006,1809
417,2278.0,2028,1897
418,2263.0,2055,1867
419,2268.0,2059,1869
420,2306.0,2105,1908
421,2305.0,2106,1909
422,2293.0,2107,1909
423,2420.0,2120,1920
424,1837.0,1597,1395
425,1835.0,1598,1393
426,1948.0,1598,1388
427,1790.0,1598,1380
428,1880.0,1598,1398
429,1865.0,1608,1397
430,1898.0,1609,1412
431,1787.0,1619,1388
432,1797.0,1632,1398
433,1833.0,1633,1399
434,1795.0,1639,1443
435,1885.0,1685,1485
436,1865.0,1688,1438
437,1998.0,1688,1438
438,1865.0,1728,1528
439,1987.0,1757,1543
440,1990.0,1780,1580
441,1998.0,1785,1584
442,2061.0,1823,1653
443,2079.0,1859,1639
444,2027.0,1863,1635
445,1998.0,1865,1651
446,2088.0,1883,1672
447,1998.0,1890,1598
448,2097.0,1897,1697
449,2189.0,1937,1738
450,2098.0,1953,1733
451,2165.0,1976,1754
452,2179.0,1998,1798
453,2285.0,1999,1885
454,2149.0,1999,1799
455,2126.0,2006,1809
456,2278.0,2028,1897
457,2263.0,2055,1867
458,2268.0,2059,1869
459,2306.0,2105,1908
460,2305.0,2106,1909
461,2293.0,2107,1909
462,2420.0,2120,1920
463,1837.0,1597,1395
464,1835.0,1598,1393
465,1948.0,1598,1388
466,1790.0,1598,1380
467,1880.0,1598,1398
468,1865.0,1608,1397
469,1898.0,1609,1412
470,1787.0,1619,1388
471,1797.0,1632,1398
472,1833.0,1633,1399
473,1795.0,1639,1443
474,1885.0,1685,1485
475,1865.0,1688,1438
476,1998.0,1688,1438
477,1865.0,1728,1528
478,1987.0,1757,1543
479,1990.0,1780,1580
480,1998.0,1785,1584
481,2061.0,1823,1653
482,2079.0,1859,1639
483,2027.0,1863,1635
484,1998.0,1865,1651
485,2088.0,1883,1672
486,1998.0,1890,1598
487,2097.0,1897,1697
488,2189.0,1937,1738
489,2098.0,1953,1733
490,2165.0,1976,1754
491,2179.0,1998,1798
492,2285.0,1999,1885
493,2149.0,1999,1799
494,2126.0,2006,1809
495,2278.0,2028,1897
496,2263.0,2055,1867
497,2268.0,2059,1869
498,2306.0,2105,1908
499,2305.0,2106,1909
500,2293.0,2107,1909
501,2420.0,2120,1920
