지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,25720567,Y,,1697,1497,
서울특별시,(주)대농석유남태령주유소,서울 서초구 과천대로 838 (방배동),SK에너지,25870895,Y,,1698,1498,
서울특별시,(주)홈런주유소,서울 서초구  양재대로2길 10030 (우면동),SOIL,25775151,Y,,1698,1498,
서울특별시,농협하나로주유소,서울특별시 서초구  헌릉로 48 (양재동),NHOIL,25785292,N,,1699,1529,1100
서울특별시,선천주유소,서울특별시 서초구  동작대로 206 (방배동),GS칼텍스,25924915,N,1859,1709,1509,
서울특별시,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),GS칼텍스,25799933,N,,1716,1526,1199
서울특별시,현대오일뱅크(주)직영방배현대주유소,서울특별시 서초구 동작대로 182 (방배동),현대오일뱅크,25340051,N,1878,1719,1539,1250
서울특별시,내곡주유소,서울특별시 서초구  헌릉로 210 (내곡동),GS칼텍스,25737878,N,1855,1719,1529,1100
서울특별시,헌릉로주유소,서울특별시 서초구  헌릉로 177 (내곡동),GS칼텍스,25740828,Y,1855,1719,1529,1100
서울특별시,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),GS칼텍스,25825198,N,1898,1720,1530,
서울특별시,(주)한미건설서울주유소,서울특별시 서초구  서초중앙로 91 (서초동),GS칼텍스,25975152,N,1898,1720,1530,1096
서울특별시,현대오일뱅크(주)직영서초현대주유소,서울 서초구 반포대로 33 (서초동),현대오일뱅크,25849717,N,1858,1720,1530,
서울특별시,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),SOIL,25855189,Y,1878,1722,1532,
서울특별시,양재현대주유소,서울 서초구 마방로 6,현대오일뱅크,25798429,N,,1723,1533,1140
서울특별시,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),GS칼텍스,25235551,N,1898,1725,1535,
서울특별시,대성석유(주)연일주유소,서울 서초구 남부순환로 2451 (서초동),GS칼텍스,234715151,N,1939,1729,1538,1100
서울특별시,현대오일뱅크(주)직영팔레스주유소,서울 서초구 사평대로 136 (반포동),현대오일뱅크,27200020,N,1867,1737,1537,
서울특별시,신반포주유소,서울 서초구 사평대로 94 (반포동),SK에너지,25335151,N,1868,1738,1538,998
서울특별시,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),GS칼텍스,25325147,N,1898,1738,1548,
서울특별시,한독주유소,서울 서초구 방배로 218 (방배동),GS칼텍스,234776127,N,1898,1738,1538,
서울특별시,SK직영반포셀프주유소,서울특별시 서초구  사평대로 12 (방배동),SK에너지,25995189,Y,1934,1743,1559,
서울특별시,남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,25421517,N,1923,1753,1544,1240
서울특별시,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),GS칼텍스,25353001,N,1885,1768,1548,1060
서울특별시,대성산업(주)직영강남주유소,서울 서초구 반포대로 284 (반포동),GS칼텍스,25945987,N,1885,1768,1548,
서울특별시,크로바주유소,서울 서초구 효령로 327 (서초동),SK에너지,25868100,N,1998,1783,1583,
서울특별시,방배동주유소,서울 서초구 효령로 29 (방배동),SK에너지,25842086,N,,1794,1594,
서울특별시,경일석유(주)직영삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,234821094,N,1897,1797,1587,
서울특별시,전당앞주유소,서울 서초구 남부순환로 2391 (서초동),SK에너지,25972381,N,1999,1799,1657,1135
서울특별시,서초제일주유소,서울 서초구 사임당로 116 (서초동),SK에너지,25876080,N,1999,1799,1657,
서울특별시,(주)대신성에너지,서울특별시 서초구 방배로 151 (방배동),SK에너지,234716037,N,2291,2076,1939,1399
서울특별시,중앙주유소,서울 서초구 양재동 바우뫼로 219 (양재동),SOIL,25755110,N,2258,2098,1858,1095
서울특별시,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),SK에너지,25993657,N,2248,2098,1898,
서울특별시,선우상사Q엔느,서울 서초구 방배로 66 (방배동),SK에너지,25815101,N,2378,2142,1967,
서울특별시,사평로주유소,서울 서초구 사평대로 350 (서초동),SK에너지,234812513,N,2329,2187,1984,
서울특별시,양재주유소,서울 서초구 바우뫼로 178 (양재동),SK에너지,25771621,N,2436,2296,2146,
서울특별시,구천면주유소,서울 강동구 구천면로 357 (암사동),현대오일뱅크,24410536,N,,1687,1495,
서울특별시,GS칼텍스㈜직영 신월주유소,서울 강동구 양재대로 1323 (성내동),GS칼텍스,24752600,N,1958,1707,1517,1140
서울특별시,동서울주유소,서울특별시 강동구  천호대로 1456 (상일동),GS칼텍스,24265372,Y,,1708,1498,
서울특별시,주)지유에너지직영 오렌지주유소,서울특별시 강동구  성안로 102 (성내동),SK에너지,24846165,N,,1716,1514,1097
서울특별시,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),SOIL,24841162,Y,,1718,1518,
서울특별시,광성주유소,서울 강동구 올림픽로 673 (천호동),SOIL,24705133,N,,1718,1518,1100
서울특별시,방아다리주유소,서울 강동구 동남로 811 (명일동),SK에너지,24425145,Y,,1728,1538,990
서울특별시,sk해뜨는주유소,서울특별시 강동구  상일로 132 (강일동),SK에너지,24427801,Y,,1728,1548,1150
서울특별시,SK네트웍스㈜암사주유소(self),서울 강동구 올림픽로 749 (암사동),SK에너지,234272043,Y,1918,1728,1538,
서울특별시,대성석유(주)직영길동주유소,서울 강동구 천호대로 1168 (둔촌동),GS칼텍스,24747222,N,1967,1728,1538,1200
서울특별시,고속셀프주유소,서울특별시 강동구  천호대로 1246 (둔촌동),SK에너지,24872030,Y,1928,1738,1548,1179
서울특별시,(주)소모에너지엔테크놀러지성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,24793838,Y,,1748,1558,
서울특별시,엘스카운티(주)천동주유소,서울특별시 강동구  천호대로 987 (천호동),현대오일뱅크,24731556,N,,1748,1558,1190
서울특별시,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,24413327,N,1989,1789,1589,1180
서울특별시,명일주유소,서울 강동구 고덕로 168 (명일동),SK에너지,234281739,N,1964,1799,1659,
서울특별시,SK네트윅스(주)길동주유소,서울 강동구 천호대로 1221 (길동),SK에너지,24883491,Y,1966,1823,1633,
서울특별시,CJ대한통운(주)직영 천호점주유소,서울 강동구 천중로 67 (천호동),현대오일뱅크,24735189,N,,1837,1638,1300
서울특별시,강동주유소,서울 강동구 양재대로 1509 (길동),SK에너지,24775101,N,2363,2128,1907,1417
서울특별시,북서울고속주유소,서울특별시 강북구 삼양로 410 (수유동),SOIL,29075182,Y,,1639,1445,
